彖	彑𧰨 hu
粜	出米 im
粟	覀米 xm
糌	米日 mo
糵	艹米 cm
紊	文糸 wx
素	龶糸 fx
索	十糸 ux
累	田糸 tx
縠	士殳 tu
縻	广糸 gx
繇	爫糸 vx
纛	龶糸 fx
纮	纟厶 ss
练	纟𫠣 sd
绉	纟彐 se
绢	纟⺝ so
绫	纟夂 sw
绳	纟电 sd
绵	纟巾 sj
绺	纟口 sk
缀	纟又 sy
缁	纟田 st
缉	纟耳 se
缗	纟日 so
缚	纟寸 sc
缫	纟果 sg
缬	纟页 sy
缭	纟小 sx
缴	纟攵 sw
缺	缶夬 fg
罂	贝缶 bf
罄	士缶 tf
罨	罒电 sd
罴	罒灬 sh
罽	罒刂 sd
美	𦍌大 yd
羧	羊夂 yw
羹	𦍌大 yd
翃	𠂇习 ux
翅	支习 vx
翈	甲习 jx
翰	十习 ux
翱	白习 bx
翼	习共 xg
翾	⺫习 sx
老	耂匕 lb
者	耂日 lo
耆	老日 lo
耒	𰀁木 fm
耷	大耳 de
聋	龙耳 le
肉	内人 nr
肖	⺌⺝ xo
肩	户⺝ ho
肯	止⺝ vo
肱	⺼厶 os
育	亠⺝ wo
肺	⺼巾 oj
胃	田⺝ to
脊	人⺝ ro
脖	⺼子 oz
脟	⺼寸 oc
脶	⺼内 on
腌	⺼电 od
腐	广肉 gr
腽	⺼皿 om
膊	⺼寸 oc
膝	⺼氺 ou
臀	尸⺝ uo
臂	尸⺝ uo
自	丿目 po
臾	𦥑人 jr
艘	舟又 vy
芈	卝𰀁 cf
芾	艹巾 cj
苑	艹㔾 cv
范	艹㔾 cv
荣	艹木 cm
荦	艹牛 cn
荧	艹火 ch
荸	艹子 cz
莜	艹攵 cw
莫	艹大 cd
莴	艹内 cn
莹	艹玉 cy
莺	艹鸟 cn
菊	艹米 cm
菌	艹禾 ch
菩	艹口 ck
菪	艹石 cu
菱	艹夂 cw
菹	艹且 cq
萄	艹缶 cf
萏	艹臼 cj
萤	艹虫 ci
萦	艹糸 cx
葭	艹又 cy
葱	艹心 cx
葵	艹天 ct
葺	艹耳 ce
蒎	艹{𧘇} cy
蒜	艹示 cu
蒟	艹句 cj
蒴	艹月 co
蒸	艹灬 ch
蓂	艹六 cl
蓄	艹田 ct
蓍	艹日 co
蓟	艹刂 cd
蓦	艹马 cm
蓰	艹龰 cz
蔌	艹欠 cq
蔸	艹儿 ce
蔹	艹攵 cw
蔽	艹攵 cw
蕊	艹心 cx
蕤	艹生 cu
蕨	艹欠 cq
蕴	艹皿 cm
薄	艹寸 cc
薜	艹辛 cx
薹	艹土 ct
藁	艹木 cm
藉	艹日 co
藐	艹儿 ce
藨	艹灬 ch
藩	艹田 ct
蘖	艹木 cm
蘧	艹豕 cu
蘼	艹非 cf
虫	中丶 vd
蚕	天虫 ti
蛊	虫皿 im
蛑	虫牛 in
蛮	亠虫 wi
蜎	虫⺝ io
蜗	虫内 in
蜜	宀虫 bi
蜣	虫乚 iv
蝇	虫电 id
蝘	虫女 in
蝠	虫田 it
蝥	矛虫 mi
蝲	虫刂 id
蝶	虫木 im
螟	虫六 il
螫	赤虫 ii
螯	龶虫 fi
螽	冬虫 di
蟀	虫十 iu
蟊	矛虫 mi
蟾	虫口 ik
蠋	虫虫 ii
蠖	虫又 iy
蠲	丷虫 bi
蠼	虫又 iy
袂	衤夬 pg
袭	龙衣 ly
裁	戈衣 gy
裰	衤又 py
褡	衤口 pk
褥	衤寸 pc
褰	宀衣 by
褶	衤白 pb
襜	衤口 pk
襞	尸衣 uy
觖	⺈夬 dg
触	⺈虫 di
觳	士殳 tu
詹	⺈口 dk
謇	宀口 bk
譬	尸口 uk
讯	讠十 yu
诀	讠夬 yg
诌	讠彐 ye
谄	讠臼 yj
谔	讠丂 yk
谮	讠曰 yo
谲	讠口 yk
谵	讠口 yk
谷	八口 bk
贝	冂人 kr
贡	工贝 gb
责	龶贝 fb
败	贝攵 bw
贪	𠆢贝 rb
贰	弋贝 yb
贵	中贝 vb
贾	覀贝 xb
赍	十贝 ub
赓	广贝 gb
赔	贝口 bk
赘	龶贝 fb
赙	贝寸 bc
赢	亡贝 wb
赣	立贝 lb
赦	赤攵 iw
趋	土彐 te
跞	𧾷乐 zl
踣	𧾷口 zk
蹇	宀足 bz
蹈	𧾷臼 zj
蹙	戊足 wz
蹦	𧾷月 zo
蹩	⺌足 xz
蹰	𧾷寸 zc
蹶	𧾷欠 zq
蹽	𧾷小 zx
躅	𧾷虫 zi
躔	𧾷土 zt
躞	𧾷又 zy
轹	车乐 il
载	戈车 gi
辍	车又 iy
辎	车田 it
辐	车田 it
辑	车耳 ie
辜	古辛 gx
辞	舌辛 ux
辩	辛讠 xy
辫	辛纟 xs
辱	辰寸 ic
逄	辶㐄 zf
逡	辶夂 zw
遨	辶攵 zw
遮	辶灬 zh
遹	辶口 zk
避	辶辛 zx
邀	辶攵 zw
邓	又⻏ ye
邹	⺈⻏ de
郄	㐅⻏ xe
部	立⻏ le
鄂	口⻏ ke
鄄	覀⻏ xe
鄠	雨⻏ ye
酃	雨⻏ ye
酆	山⻏ ue
酸	酉夂 yw
酹	酉寸 yc
醅	酉口 yk
采	爫木 vm
里	田土 tt
重	千里 ql
鑒	臣金 ij
铠	钅己 jj
锅	钅内 jn
锊	钅寸 jc
锦	钅巾 jj
锫	钅口 jk
锱	钅田 jt
锸	钅臼 jj
锼	钅又 jy
镈	钅寸 jc
镌	钅乃 jn
镍	钅木 jm
镢	钅欠 jq
镣	钅小 jx
镯	钅虫 ji
镵	钅兔 jt
闪	门人 mr
问	门口 mk
间	门日 mo
闷	门心 mx
闻	门耳 me
闽	门虫 mi
阉	门电 md
阎	门臼 mj
阒	门犬 mq
阖	门皿 mm
阙	门欠 mq
陛	⻖土 et
陧	⻖土 et
陪	⻖口 ek
陵	⻖夂 ew
陶	⻖缶 ef
陷	⻖臼 ej
随	⻖月 eo
隼	亻十 ru
集	亻木 rm
霞	雨又 yy
霹	雨辛 yx
青	龶⺝ fo
靠	⺧非 nf
靡	广非 gf
靥	厂面 im
革	廿十 cu
鞠	革米 gm
鞲	革冉 gr
韂	革口 gk
韬	韦臼 wj
顶	丁页 dy
顸	干页 gy
项	工页 gy
颃	亠页 wy
颍	匕页 by
颖	匕页 by
题	日页 oy
颚	口页 ky
颦	止十 vu
飒	立风 lf
飕	风又 fy
飙	犬风 qf
馅	饣臼 uj
馊	饣又 uy
馞	禾子 hz
马	𠃌一 va
驺	马彐 me
骂	口马 km
骏	马夂 mw
骘	⻖马 em
骙	马天 mt
骚	马虫 mi
骛	矛马 mm
骜	龶马 fm
骞	宀马 bm
骣	马子 mz
骥	马共 mg
髑	冎虫 gi
髓	冎月 go
鬯	凵匕 kb
鬼	丿厶 ps
魂	云鬼 yg
魄	白鬼 bg
魇	厂鬼 ig
魔	广鬼 gg
鲎	𰃮鱼 xy
鲞	龹鱼 jy
鲮	鱼夂 yw
鲻	鱼田 yt
鳌	龶鱼 fy
鳖	⺌鱼 xy
鳜	鱼欠 yq
鸡	又鸟 yn
鸢	弋鸟 yn
鸭	甲鸟 jn
鸳	夕鸟 xn
鸺	亻鸟 rn
鸿	氵鸟 dn
鹁	十鸟 un
鹃	口鸟 kn
鹜	矛鸟 mn
鹨	习鸟 xn
鹩	大鸟 dn
鹬	矛鸟 mn
鹰	广鸟 gn
黉	𰃮八 xb
黡	厂灬 ih
鼓	士支 tv
龢	𠆢禾 rh
侨	亻{⿰丿丨} rl
勠	习力 xl
圫	土七 tq
奉	𡗗𰀁 if
娇	女{⿰丿丨} nl
媪	女皿 nm
峤	山{⿰丿丨} ul
嶅	龶山 fu
嶦	山口 uk
廪	广示 gu
弆	去廾 qc
憨	{⿱𠃍耳}心 ex
懔	忄示 xu
掖	扌{夜右下} fw
摏	扌臼 fj
斟	卄斗 cd
栎	木乐 ml
桥	木{⿰丿丨} ml
榃	木田 mt
榱	木{⿻口一} mv
橑	木小 mx
歅	覀欠 xq
殁	歹殳 du
毖	匕必 bb
浡	氵子 dz
液	氵{夜右下} dw
潖	氵巴 db
潩	氵共 dg
瀔	氵殳 du
熻	火习 hx
珕	𤣩力 wl
甕	亠瓦 ww
矫	矢{⿰丿丨} ul
砄	石夬 ug
硙	石己 uj
硚	石{⿰丿丨} ul
稂	禾良 hl
稌	禾朩 hm
窎	宀鸟 bn
簝	竹小 vx
缞	纟{⿻口一} sv
腋	⺼{夜右下} ow
臩	{⿾臣}{⿰丿丨} il
良	丶艮 dg
茔	艹土 ct
茕	艹十 cu
荞	艹{⿰丿丨} cl
荥	艹水 cu
荮	艹寸 cc
蓑	艹{⿻口一} cv
螋	虫又 iy
裛	衣巴 yb
觇	占见 vj
觏	𠀎见 fj
觑	虍见 hj
觿	⺈口 dk
诇	讠口 yk
谡	讠夂 yw
谪	讠古 yg
赝	厂贝 ib
赡	贝口 bk
轿	车{⿰丿丨} il
辔	纟口 sk
酅	山⻏ ue
鉴	丨金 lj
钹	钅又 jy
铄	钅乐 jl
镝	钅古 jg
阕	门天 mt
面	丆{丨丨二} ao
鞒	革{⿰丿丨} gl
鞳	革口 gk
韫	韦皿 wm
餐	歺艮 dg
饽	饣子 uz
馌	饣皿 um
骄	马{⿰丿丨} ml
骢	马心 mx
鲺	鱼虫 yi
鲾	鱼田 yt
鳛	鱼白 yb
鳠	鱼又 yy
鹌	大鸟 dn
鹐	⺈鸟 dn
鹗	口鸟 kn
鹠	{丿𠄌丶}鸟 pn
鼹	臼女 jn
齇	自且 zq
齑	齐韭 qj
鿍	土㐄 tf
㫰	日良 ol
事	𰀉{肀} gy
伣	亻见 rj
俍	亻良 rl
勘	卄力 cl
哏	口艮 kg
垠	土艮 tg
埌	土良 tl
娘	女良 nl
娠	女辰 ni
宸	宀辰 bi
岘	山见 uj
崀	山良 ul
帮	丰巾 fj
很	彳艮 rg
徐	彳朩 rm
恨	忄艮 xg
悢	忄良 xl
戠	戈日 go
戡	卄戈 cg
振	扌辰 fi
揽	扌见 fj
搅	扌见 fj
晨	日辰 oi
枧	木见 mj
根	木艮 mg
桹	木良 ml
梌	木朩 mm
榄	木见 mj
欺	卄欠 cq
比	匕匕 bb
浪	氵良 dl
涂	氵朩 dm
滁	氵朩 dm
瀱	氵刂 dd
烺	火良 hl
燄	⺈火 dh
燅	土火 th
狠	犭艮 qg
狳	犭朩 qm
狼	犭良 ql
现	𤣩见 wj
珢	𤣩艮 wg
琅	𤣩良 wl
痕	疒艮 bg
皆	匕白 bb
监	丨皿 lm
眼	目艮 og
砚	石见 uj
硍	石艮 ug
稚	禾{隹右} hv
窩	宀口 bk
窪	宀土 bt
竅	宀攵 bw
笕	竹见 vj
筤	竹良 vl
粮	米良 ml
缆	纟见 sj
舰	舟见 vj
艅	舟朩 vm
艰	又艮 yg
苋	艹见 cj
茛	艹艮 cg
荼	艹朩 cm
莨	艹良 cl
蒗	艹良 cl
虞	虍{𠃑大} ht
蚬	虫见 ij
蜍	虫朩 im
蠢	𡗗虫 ii
裉	衤艮 pg
觋	工见 gj
觌	十见 uj
觎	𠆢见 rj
觐	廿见 cj
誊	龹口 jk
豔	山皿 um
赈	贝辰 bi
跟	𧾷艮 zg
踉	𧾷良 zl
途	辶朩 zm
酴	酉朩 ym
酿	酉良 yl
银	钅艮 jg
锒	钅良 jl
镴	钅{鼠下} jv
阆	门良 ml
限	⻖艮 eg
除	⻖朩 em
雠	亻讠 ry
震	雨辰 yi
饕	口艮 kg
髋	冎见 gj
鴆	冖鳥 bn
鸵	{鸟减一}匕 nb
鹮	⺫鸟 sn
鹱	{鸟减一}又 ny
齎	亠貝 wb
龈	止艮 vg
𬒈	⺍石 xu
𬶨	{艮}鱼 gy
㑊	亻{亦下} rb
㸌	火{隹右} hv
丝	{纟上}一 sa
争	⺈{肀} dy
伞	𠆢{伞下} ru
傕	亻{隹右} rv
傩	亻{隹右} rv
催	亻{隹右} rv
净	冫{肀} dy
准	冫{隹右} dv
唯	口{隹右} kv
嚯	口{隹右} kv
域	土{一} ta
堆	土{隹右} tv
峥	山{肀} uy
崔	山{隹右} uv
崡	山{水} uu
帷	巾{隹右} jv
怿	忄𰀁 xf
惟	忄{隹右} xv
或	戈{一} ga
择	扌𰀁 ff
挣	扌{肀} fy
推	扌{隹右} fv
摊	扌{隹右} fv
摧	扌{隹右} fv
暹	辶{隹右} zv
棫	木{一} ma
椎	木{隹右} mv
榷	木{隹右} mv
殛	歹{一} da
泽	氵𰀁 df
涵	氵{水} du
淮	氵{隹右} dv
滩	氵{隹右} dv
漼	氵{隹右} dv
潍	氵{隹右} dv
灌	氵{隹右} dv
煺	火艮 hg
狰	犭{肀} qy
琟	𤣩{隹右} wv
琤	𤣩{肀} wy
璀	𤣩{隹右} wv
瓘	𤣩{隹右} wv
瘫	疒{隹右} bv
睁	目{肀} oy
睢	目{隹右} ov
碓	石{隹右} uv
竫	立{肀} ly
筝	竹{肀} vy
绎	纟𰀁 sf
维	纟{隹右} sv
罐	缶{隹右} fv
翟	习{隹右} xv
聼	{⿱𠃍耳}心 ex
腿	⺼艮 og
菡	艹{水} cu
萑	艹{隹右} cv
蔺	艹{隹右} cv
藿	艹{隹右} cv
蜈	虫{𠃑大} it
蜮	虫{一} ia
褪	衤艮 pg
译	讠𰀁 yf
诤	讠{肀} yy
谁	讠{隹右} yv
迹	辶{亦下} zb
退	辶艮 zg
郫	{卑上}⻏ pe
铎	钅𰀁 jf
铮	钅{肀} jy
锥	钅{隹右} jv
阈	门{一} ma
难	又{隹右} yv
雁	厂{隹右} iv
雇	户{隹右} hv
雉	矢{隹右} uv
雊	句{隹右} jv
雌	止{隹右} vv
雍	亠{隹右} wv
雒	夂{隹右} wv
雕	⺆{隹右} kv
霍	雨{隹右} yv
静	龶{肀} fy
馘	丷{一} ba
驿	马𰀁 mf
骓	马{隹右} mv
骤	马{水} mu
魋	鬼{隹右} gv
鸶	{纟上}鸟 sn
鹎	{卑上}鸟 pn
黔	{里}㇇ lv
黪	{里}彡 lp
䅟	禾彡 hp
䝙	豸区 vq
一	一一 aa
丌	一丨 al
与	㇉一 va
丏	丐丨 gl
丐	一㇉ av
业	〢一 la
丽	一丶 ad
之	丶乀 dn
乌	丿一 pa
乎	丿亅 pl
乏	丿之 pv
乜	𠃌乚 vv
九	丿㇈ pv
也	𠃌乚 vv
乸	也母 ym
亚	一业 ay
凸	丨一 la
凹	丨一 la
凿	业干 yg
刁	𠃌㇀ va
勺	勹丶 bd
匈	勹凶 bx
匍	勹甫 bf
匡	匚王 kw
匣	匚甲 kj
匦	匚九 kj
匪	匚非 kf
匮	匚贝 kb
匹	匚儿 ke
区	匚㐅 kx
医	匚矢 ku
匼	匚口 kk
匾	匚卄 kc
匿	匚口 kk
升	丿廾 pc
卜	丨丶 ld
叵	匚口 kk
噩	王口 wk
囊	𰀉𧘇 gy
少	小丿 xp
屯	一乚 av
川	丿〢 pl
工	一{一} aa
幻	幺𠃌 yv
引	弓丨 gl
弛	弓也 gy
张	弓长 gi
弧	弓瓜 gg
彪	虍彡 hp
恖	丿心 px
斤	𠂆丨 il
枣	朿⺀ ud
梁	氵木 dm
毛	丿乚 pv
毳	毛毛 mm
氏	丿乚 pv
永	丶水 du
求	一⺢ au
焏	口灬 kh
爪	𠂆乀 in
牂	爿羊 py
牙	𡕒丿 gp
瓜	𠂆乀 in
瓦	一丶 ad
瓯	区瓦 qw
瓽	龸瓦 xw
甪	丿用 py
甫	十用 uy
甭	不用 by
画	一田 at
疆	弓畺 gj
疍	疋旦 zd
登	癶䒑 bb
禹	丿丶 pd
秀	禾乃 hn
种	禾中 hv
科	禾斗 hd
秒	禾少 hu
秘	禾必 hb
秫	禾术 hu
秬	禾巨 hj
秭	禾𠂔 hd
秾	禾𧘇 hy
稼	禾豕 hu
穆	禾彡 hp
羌	⺶乚 yv
群	尹羊 yy
臿	千臼 qj
苘	艹口 ck
虐	虍𰀂 he
虚	虍业 hy
衃	丿不 pb
衆	丿{水} pu
袬	衣口 yk
豒	山𢎨 ud
豓	山皿 um
豹	豸勺 vu
豺	豸才 vc
貆	豸旦 vd
身	自才 zc
躬	身弓 ug
躯	身区 uq
长	丿ㄟ pn
韭	非一 fa
飞	㇈丶 vd
馝	禾必 hb
髢	E也 ey
鵆	彳鳥 rn
默	{里}犬 lq
黜	{里}出 li
黝	{里}力 ll
黟	{里}夕 lx
黠	{里}口 lk
黢	{里}夂 lw
黥	{里}小 lx
黩	{里}⺀ ld
黯	{里}日 lo
鼐	乃目 no
齏	亠韭 wj
㛚	女用 ny
㠇	山尤 uy
㠓	山豕 uu
㧟	扌匚 fk
㮾	良木 lm
㳚	氵丶 dd
㶲	火用 hy
㻬	𤣩丂 wk
䏝	⺼专 ov
䏲	⺼𢎨 od
䜣	讠斤 yj
䥽	钅又 jy
丈	一乀 an
且	⺝一 oa
丙	一内 an
两	一人 ar
么	丿厶 ps
乱	舌乚 uv
亍	一丁 ad
亶	亠旦 wd
亿	亻乙 rv
仆	亻卜 rb
仇	亻九 rj
仍	亻乃 rn
他	亻也 ry
仗	亻丈 rv
仞	亻刃 rr
仡	亻乙 rv
仲	亻中 rv
价	亻介 rj
任	亻壬 rw
伊	亻尹 ry
伋	亻及 rj
优	亻尤 ry
伛	亻区 rq
伟	亻韦 rw
传	亻专 rv
伢	亻牙 ry
伥	亻长 ri
伫	亻㝉 rv
伸	亻申 ru
伾	亻丕 rp
但	亻旦 rd
低	亻氐 ru
体	亻本 rb
佛	亻弗 rf
佟	亻冬 rd
佣	亻用 ry
佤	亻瓦 rw
佥	𠆢一 ra
佯	亻羊 ry
佻	亻兆 rv
侃	亻𫶧 ri
侉	亻丂 rk
侪	亻齐 rq
侬	亻𧘇 ry
侮	亻母 rm
俄	亻我 rw
俅	亻求 rq
俑	亻用 ry
俪	亻丶 rd
修	亻彡 rp
俵	亻𧘇 ry
俸	亻𰀁 rf
倌	亻㠯 rl
倴	亻廾 rc
偈	亻人 rr
偡	亻八 rb
偶	亻丶 rd
像	亻𧰨 ru
僦	亻尤 ry
僰	朿人 ur
僵	亻畺 rj
儴	亻𠀎 rf
兔	⺈丶 dd
兕	凹儿 ae
兮	八丂 bk
兵	丘八 qb
写	冖与 by
冤	冖兔 bt
冬	夂⺀ wd
冱	冫互 dh
冲	冫中 dv
减	冫口 dk
凘	冫斤 dj
凳	癶几 bj
刃	刀丶 dd
刨	包刂 bd
刭	𢀖刂 jd
到	𠫔刂 gd
刺	朿刂 ud
剅	豆刂 dd
剌	束刂 ud
剕	非刂 fd
办	力八 lb
劢	万力 wl
劣	少力 ul
劲	𢀖力 jl
勾	勹厶 bs
匀	勹冫 bd
包	勹巳 bs
协	十办 ub
卞	亠卜 wb
卟	口卜 kb
占	⺊囗 bk
卢	⺊尸 bu
卦	土卜 tb
卮	𠂆㔾 iv
厮	厂斤 ij
参	厶彡 sp
反	𠂆又 iy
叔	上又 uy
叫	口丩 kj
号	口丂 kk
叼	口刁 kd
吃	口乙 kv
后	𠂆口 ik
吏	古乀 gn
向	丿口 pk
吓	口下 kx
吖	口丫 ky
君	尹口 yk
吟	口㇇ kv
否	不口 bk
吨	口屯 kt
听	口斤 kj
吲	口丨 kl
吵	口少 ku
吸	口及 kj
吼	口乚 kv
呀	口牙 ky
呓	口乙 kv
呔	口太 kt
呕	口区 kq
呜	口乌 kw
呣	口母 km
呱	口瓜 kg
呷	口甲 kj
呸	口丕 kp
呻	口申 ku
呼	口乎 kh
咂	口巾 kj
咇	口必 kb
和	禾口 hk
咏	口永 ky
咔	口卜 kb
咙	口龙 kl
咚	口冬 kd
咩	口羊 ky
咺	口旦 kd
咿	口尹 ky
哐	口王 kw
哑	口业 ky
哝	口𧘇 ky
哟	口勺 ku
哢	口廾 kc
哦	口我 kw
哳	口斤 kj
哺	口甫 kf
哼	口了 kl
唪	口𰀁 kf
啭	口专 kv
啮	口人 kr
喁	口丶 kd
喊	口口 kk
喝	口人 kr
喧	口旦 kd
喳	口旦 kd
嗝	口鬲 kg
嗨	口母 km
嘘	口业 ky
嘭	口彡 kp
嘱	口禹 ky
嘶	口斤 kj
噎	口䒑 kb
噔	口䒑 kb
噶	口人 kr
嚎	口豕 ku
囔	口𧘇 ky
团	囗才 kc
囤	囗屯 kt
围	囗韦 kw
图	囗冬 kd
圃	囗甫 kf
圪	土乙 tv
圬	土丂 tk
地	土也 ty
圳	土川 ti
场	土丿 tp
圻	土斤 tj
圾	土及 tj
坉	土屯 tt
坏	土不 tb
坚	丨土 lt
坞	土乌 tw
坤	土申 tu
坦	土旦 td
坬	土瓜 tg
坯	土丕 tp
坻	土氐 tu
坼	土斥 ti
垏	土聿 ty
垕	𠂆土 it
垟	土羊 ty
垣	土旦 td
垩	亚土 yt
垭	土业 ty
垮	土丂 tk
垴	土凶 tx
垿	土予 ty
埆	土用 ty
埇	土用 ty
城	土成 ti
埔	土甫 tf
埗	土𣥂 tu
堍	土兔 tt
堨	土人 tr
堪	土八 tb
塆	土弓 tg
塥	土鬲 tg
塱	良土 lt
墉	土月 to
墘	土乙 tv
墟	土业 ty
墼	車土 it
壑	⺊土 bt
壕	土豕 tu
声	士𠃜 tu
壶	士业 ty
壸	士业 ty
壹	士䒑 tb
处	夂卜 wb
外	夕卜 xb
太	大丶 dd
夭	丿大 pd
头	大⺀ dd
夸	大丂 dk
夼	大川 di
奁	大区 dq
奘	爿大 pd
奶	女乃 nn
她	女也 ny
妁	女勺 nu
妊	女壬 nw
妍	女开 nk
妗	女㇇ nv
妙	女少 nu
妤	女予 ny
妪	女区 nq
妯	女由 ny
妲	女旦 nd
姆	女母 nm
姊	女𠂔 nd
委	禾女 hn
姘	女开 nk
姚	女兆 nv
姬	女𦣞 ni
姮	女旦 nd
姱	女丂 nk
娅	女业 ny
娓	女毛 nm
娣	女𢎨 nd
娥	女我 nw
娶	耳女 en
婊	女𧘇 ny
婠	女㠯 nl
婳	女田 nt
婶	女申 nu
媭	彡女 pn
嫁	女豕 nu
嫭	女乎 nh
嬗	女旦 nd
孔	子乚 zv
孕	乃子 nz
季	禾子 hz
孤	子瓜 zg
孬	不子 bz
孵	卵子 lz
宄	宀九 bj
宓	宀必 bb
宙	宀由 by
宠	宀龙 bl
审	宀申 bu
宣	宀旦 bd
宦	宀臣 bi
宧	宀𦣞 bi
宬	宀成 bi
家	宀豕 bu
寒	宀⺀ bd
寓	宀丶 bd
小	亅八 lb
尖	小大 xd
尜	小小 xx
尥	尢勺 yu
尬	尢介 yj
就	亠尤 wy
尻	尸九 uj
尽	尺⺀ id
尾	尸毛 um
屉	尸世 uu
届	尸由 uy
屏	尸开 uk
属	尸禹 uy
屹	山乙 uv
屿	山与 uy
岈	山牙 uy
岌	山及 uj
岍	山开 uk
岑	山㇇ uv
岖	山区 uq
岠	山巨 uj
岫	山由 uy
岬	山甲 uj
岷	山民 um
峂	山冬 ud
峘	山旦 ud
峨	山我 uw
島	{鳥-灬}山 nu
崟	山金 uj
崭	山斤 uj
崴	山女 un
崿	山丂 uk
嵁	山八 ub
嵅	山口 uk
嵇	禾山 hu
嵎	山丶 ud
嵖	山旦 ud
嶙	山㐄 uf
嶝	山䒑 ub
巜	𡿨𡿨 vv
巡	辶巛 zv
巢	巛果 vg
巧	工丂 gk
巩	工凡 gf
币	丿巾 pj
帆	巾凡 jf
帏	巾韦 jw
帐	巾长 ji
帡	巾开 jk
幪	巾豕 ju
序	广予 gy
应	广一 ga
底	广氐 gu
庙	广由 gy
庞	广龙 gl
废	广又 gy
庠	广羊 gy
庹	广尺 gi
延	廴正 zv
建	廴聿 zy
开	一廾 ac
弘	弓厶 gs
弟	丷𢎨 bd
弢	弓又 gy
弥	弓小 gx
弦	弓玄 gx
弨	弓口 gk
弩	女弓 ng
弭	弓耳 ge
弱	𢎥𢎥 gg
弶	弓小 gx
弸	弓月 go
弹	弓十 gu
强	弓虫 gi
形	开彡 kp
彤	丹彡 dp
彩	采彡 cp
彰	立彡 lp
影	日彡 op
徉	彳羊 ry
律	彳聿 ry
忆	忄乙 xv
忐	上心 ux
忑	下心 xx
忙	忄亡 xw
忡	忄中 xv
忧	忄尤 xy
忭	忄卜 xb
忳	忄屯 xt
忻	忄斤 xj
怀	忄不 xb
怄	忄区 xq
怅	忄长 xi
怛	忄旦 xd
怫	忄弗 xf
怵	忄术 xu
恒	忄旦 xd
恶	亚心 yx
恼	忄凶 xx
悈	忄廾 xc
悌	忄𢎨 xd
悔	忄母 xm
悬	且心 qx
惘	忄亡 xw
惨	忄彡 xp
惭	忄斤 xj
愁	禾心 hx
愃	忄旦 xd
愍	民心 mx
慌	忄𫶧 xi
慝	匚心 kx
慭	来心 lx
慵	忄月 xo
憕	忄䒑 xb
戒	戈廾 gc
战	占戈 vg
戤	乃戈 ng
戬	亚戈 yg
戽	户斗 hd
才	𬺰丿 up
扎	扌乚 fv
扑	扌卜 fb
扔	扌乃 fn
执	扌丸 fw
扬	扌丿 fp
扰	扌尤 fy
扺	扌氏 fu
扽	扌屯 ft
抄	扌少 fu
抒	扌予 fy
抓	扌爪 fv
抔	扌不 fb
抖	扌斗 fd
折	扌斤 fj
抟	扌专 fv
抠	扌区 fq
抵	扌氐 fu
抻	扌申 fu
押	扌甲 fj
抽	扌由 fy
抿	扌民 fm
拂	扌弗 ff
担	扌旦 fd
拆	扌斥 fi
拇	扌母 fm
拒	扌巨 fj
拖	扌也 fy
拢	扌龙 fl
拤	扌卜 fb
拥	扌用 fy
拨	扌又 fy
拯	扌丞 fi
拷	扌丂 fk
拼	扌开 fk
拽	扌曳 fy
拿	𠆢手 ru
挈	丰手 fu
挎	扌丂 fk
挑	扌兆 fv
挚	扌手 fu
挤	扌齐 fq
挲	氵手 du
捅	扌用 fy
捕	扌甫 ff
捧	扌𰀁 ff
掣	牛手 nu
掺	扌彡 fp
揕	扌八 fb
揭	扌人 fr
揸	扌旦 fd
搀	扌⺀ fd
搿	手手 uu
摒	扌开 fk
撑	扌手 fu
撕	扌斤 fj
撺	扌串 fi
擅	扌旦 fd
擎	艹手 cu
擤	扌丌 fw
攞	扌{隹右} fv
攮	扌𧘇 fy
政	正攵 vw
救	求攵 qw
敷	甫攵 fw
斀	⺫又 sy
斐	非文 fw
斓	文柬 wj
斗	十⺀ ud
料	米斗 md
斛	⺈斗 dd
斜	𠆢斗 rd
斫	石斤 uj
新	立斤 lj
於	方⺀ fd
施	方也 fy
旄	方毛 fm
旐	方兆 fv
旒	方𫶧 fi
旦	日一 oa
旧	丨日 lo
旮	九日 jo
旯	日九 oj
旸	日丿 op
昇	日廾 oc
昏	氏日 uo
昕	日斤 oj
昣	日彡 op
昶	永日 yo
昼	尺旦 id
昽	日龙 ol
显	日业 oy
晁	日兆 ov
晅	日旦 od
晟	日成 oi
晡	日甫 of
晦	日母 om
晰	日斤 oj
暄	日旦 od
暅	日旦 od
暕	日柬 oj
曁	白旦 bd
曷	曰人 or
朓	月兆 ov
朗	良月 lo
朦	月豕 ou
札	木乚 mv
术	木丶 md
朴	木卜 mb
朽	木丂 mk
杈	木叉 mi
杉	木彡 mp
材	木才 mc
杓	木勺 mu
杖	木丈 mv
杧	木亡 mw
杨	木丿 mp
杪	木少 mu
杯	木不 mb
杼	木予 my
极	木及 mj
枅	木开 mk
枍	木丂 mk
析	木斤 mj
枢	木区 mq
枨	木长 mi
枵	木丂 mk
柊	木冬 md
柙	木甲 mj
柚	木由 my
柜	木巨 mj
柝	木斥 mi
柢	木氐 mu
查	木旦 md
柩	木久 mj
栊	木龙 ml
栐	木永 my
栟	木开 mk
栲	木丂 mk
样	木羊 my
桁	木丁 md
桃	木兆 mv
框	木王 mw
桓	木旦 md
桠	木业 my
桫	木少 mu
桶	木用 my
桷	木用 my
梅	木母 mm
梟	{鳥-灬}木 nm
